
# Surface 0 of 1 surfaces

# Curve title: ""potential-pos_inverted_contourtmp0.dat""

# Contour 0, label:        4
-0.217441  0.300353  2.7 
-0.300432  0.217334  2.7 
-0.304396  0.210705  2.7 
-0.3511  0.130379  2.7 
-0.37179  0.0434239  2.7 
-0.371766 -0.0435311  2.7 
-0.351043 -0.130486  2.7 
-0.304396 -0.21071  2.7 
-0.30037 -0.217441  2.7 
-0.217441 -0.30037  2.7 
-0.21071 -0.304396  2.7 
-0.130486 -0.351043  2.7 
-0.0435311 -0.371766  2.7 
 0.0434239 -0.37179  2.7 
 0.130379 -0.3511  2.7 
 0.210705 -0.304396  2.7 
 0.217334 -0.300432  2.7 
 0.300353 -0.217441  2.7 
 0.304289 -0.210866  2.7 
 0.351043 -0.130486  2.7 
 0.371765 -0.0435311  2.7 
 0.371773  0.0434239  2.7 
 0.351093  0.130379  2.7 
 0.304289  0.210884  2.7 
 0.300431  0.217334  2.7 
 0.217334  0.300431  2.7 
 0.210884  0.304289  2.7 
 0.130379  0.351093  2.7 
 0.0434239  0.371773  2.7 
-0.0435311  0.371765  2.7 
-0.130486  0.351043  2.7 


# Contour 14, label:      2.6
-0.217441  0.31888  2.6 
-0.23576  0.304289  2.6 
-0.304396  0.235614  2.6 
-0.318951  0.217334  2.6 
-0.3657  0.130379  2.6 
-0.383993  0.0434239  2.6 
-0.383969 -0.0435311  2.6 
-0.365647 -0.130486  2.6 
-0.318875 -0.217441  2.6 
-0.304396 -0.235617  2.6 
-0.235617 -0.304396  2.6 
-0.217441 -0.318875  2.6 
-0.130486 -0.365647  2.6 
-0.0435311 -0.383969  2.6 
 0.0434239 -0.383993  2.6 
 0.130379 -0.3657  2.6 
 0.217334 -0.318951  2.6 
 0.235614 -0.304396  2.6 
 0.304289 -0.23576  2.6 
 0.31888 -0.217441  2.6 
 0.365641 -0.130486  2.6 
 0.383962 -0.0435311  2.6 
 0.383965  0.0434239  2.6 
 0.365683  0.130379  2.6 
 0.318972  0.217334  2.6 
 0.304289  0.235767  2.6 
 0.235767  0.304289  2.6 
 0.217334  0.318972  2.6 
 0.130379  0.365683  2.6 
 0.0434239  0.383965  2.6 
-0.0435311  0.383962  2.6 
-0.130486  0.365641  2.6 
-0.217441  0.31888  2.6 


# Contour 15, label:      2.5
-0.0435311  0.398898  2.5 
-0.0738188  0.391244  2.5 
-0.130486  0.380238  2.5 
-0.217441  0.338652  2.5 
-0.260583  0.304289  2.5 
-0.304396  0.260451  2.5 
-0.338727  0.217334  2.5 
-0.380299  0.130379  2.5 
-0.391351  0.0733382  2.5 
-0.398897  0.0434239  2.5 
-0.398862 -0.0435311  2.5 
-0.391351 -0.073269  2.5 
-0.380252 -0.130486  2.5 
-0.338656 -0.217441  2.5 
-0.304396 -0.260447  2.5 
-0.260447 -0.304396  2.5 
-0.217441 -0.338656  2.5 
-0.130486 -0.380252  2.5 
-0.073269 -0.391351  2.5 
-0.0435311 -0.398862  2.5 
 0.0434239 -0.398897  2.5 
 0.0733382 -0.391351  2.5 
 0.130379 -0.380299  2.5 
 0.217334 -0.338727  2.5 
 0.260451 -0.304396  2.5 
 0.304289 -0.260583  2.5 
 0.338652 -0.217441  2.5 
 0.380238 -0.130486  2.5 
 0.391244 -0.0738188  2.5 
 0.398898 -0.0435311  2.5 
 0.398902  0.0434239  2.5 
 0.391244  0.073764  2.5 
 0.380272  0.130379  2.5 
 0.338735  0.217334  2.5 
 0.304289  0.260576  2.5 
 0.260576  0.304289  2.5 
 0.217334  0.338735  2.5 
 0.130379  0.380272  2.5 
 0.073764  0.391244  2.5 
 0.0434239  0.398902  2.5 
-0.0435311  0.398898  2.5 


# Contour 16, label:      2.4
-0.130486  0.396497  2.4 
-0.141709  0.391244  2.4 
-0.217441  0.358423  2.4 
-0.285406  0.304289  2.4 
-0.304396  0.285288  2.4 
-0.358503  0.217334  2.4 
-0.391351  0.141477  2.4 
-0.396539  0.130379  2.4 
-0.417903  0.0434239  2.4 
-0.417877 -0.0435311  2.4 
-0.396479 -0.130486  2.4 
-0.391351 -0.141447  2.4 
-0.358436 -0.217441  2.4 
-0.304396 -0.285277  2.4 
-0.285277 -0.304396  2.4 
-0.217441 -0.358436  2.4 
-0.141447 -0.391351  2.4 
-0.130486 -0.396479  2.4 
-0.0435311 -0.417877  2.4 
 0.0434239 -0.417903  2.4 
 0.130379 -0.396539  2.4 
 0.141477 -0.391351  2.4 
 0.217334 -0.358503  2.4 
 0.285288 -0.304396  2.4 
 0.304289 -0.285406  2.4 
 0.358423 -0.217441  2.4 
 0.391244 -0.141709  2.4 
 0.396497 -0.130486  2.4 
 0.417893 -0.0435311  2.4 
 0.417904  0.0434239  2.4 
 0.396538  0.130379  2.4 
 0.391244  0.141699  2.4 
 0.358497  0.217334  2.4 
 0.304289  0.285385  2.4 
 0.285385  0.304289  2.4 
 0.217334  0.358497  2.4 
 0.141699  0.391244  2.4 
 0.130379  0.396538  2.4 
 0.0434239  0.417904  2.4 
-0.0435311  0.417893  2.4 
-0.130486  0.396497  2.4 


# Contour 17, label:      2.3
-0.130486  0.417851  2.3 
-0.187331  0.391244  2.3 
-0.217441  0.378195  2.3 
-0.304396  0.310965  2.3 
-0.311067  0.304289  2.3 
-0.378279  0.217334  2.3 
-0.391351  0.187146  2.3 
-0.417888  0.130379  2.3 
-0.43691  0.0434239  2.3 
-0.436892 -0.0435311  2.3 
-0.417843 -0.130486  2.3 
-0.391351 -0.187116  2.3 
-0.378217 -0.217441  2.3 
-0.31093 -0.304396  2.3 
-0.304396 -0.31093  2.3 
-0.217441 -0.378217  2.3 
-0.187116 -0.391351  2.3 
-0.130486 -0.417843  2.3 
-0.0435311 -0.436892  2.3 
 0.0434239 -0.43691  2.3 
 0.130379 -0.417888  2.3 
 0.187146 -0.391351  2.3 
 0.217334 -0.378279  2.3 
 0.304289 -0.311067  2.3 
 0.310965 -0.304396  2.3 
 0.378195 -0.217441  2.3 
 0.391244 -0.187331  2.3 
 0.417851 -0.130486  2.3 
 0.436887 -0.0435311  2.3 
 0.436907  0.0434239  2.3 
 0.417888  0.130379  2.3 
 0.391244  0.187345  2.3 
 0.37826  0.217334  2.3 
 0.311045  0.304289  2.3 
 0.304289  0.311045  2.3 
 0.217334  0.37826  2.3 
 0.187345  0.391244  2.3 
 0.130379  0.417888  2.3 
 0.0434239  0.436907  2.3 
-0.0435311  0.436887  2.3 
-0.130486  0.417851  2.3 


# Contour 18, label:      2.2
-0.217441  0.400195  2.2 
-0.231091  0.391244  2.2 
-0.304396  0.339372  2.2 
-0.339456  0.304289  2.2 
-0.391351  0.230937  2.2 
-0.40027  0.217334  2.2 
-0.439237  0.130379  2.2 
-0.455916  0.0434239  2.2 
-0.455907 -0.0435311  2.2 
-0.439208 -0.130486  2.2 
-0.400194 -0.217441  2.2 
-0.391351 -0.230924  2.2 
-0.339337 -0.304396  2.2 
